EntryID,SignFrequency(M),SelectedFingers,Flexion,Movement
rest,5.375,imrp,1,None
sister,5.385,i,1,Straight
house,5.385,imrp,4,Curved
language,5.387,i,1,BackAndForth
need,5.4,i,2,BackAndForth
animal,5.4,imrp,4,BackAndForth
sure,5.4,i,1,Straight
stairs,5.4,im,2,Straight
fingerspelling,5.4,imrp,3,BackAndForth
silly,5.4,p,1,BackAndForth
age,5.4,imrp,5,Straight
movies,5.4,imrp,1,None
green,5.4,i,3,None
lazy,5.407,i,1,BackAndForth
pride,5.419,thumb,3,Straight
many,5.423,imrp,7,BackAndForth
meet,5.423,i,1,Straight
not_care,5.423,imrp,4,Curved
reason,5.433,im,Crossed,Circular
text,5.435,thumb,1,BackAndForth
homework,5.44,imrp,6,Curved
doubt,5.44,im,1,None
year,5.44,imrp,7,Circular
live_2,5.44,thumb,1,Straight
egg,5.44,im,1,BackAndForth
hair,5.444,i,4,BackAndForth
bag,5.452,imrp,7,BackAndForth
contact,5.462,m,3,BackAndForth
true,5.462,i,1,Straight
children,5.467,imrp,1,BackAndForth
about_1,5.48,i,1,Circular
delicious,5.48,m,3,Straight
headache,5.48,i,4,BackAndForth
favorite,5.48,m,3,BackAndForth
brother,5.48,thumb,1,None
window,5.48,imrp,1,BackAndForth
telephone,5.481,p,1,BackAndForth
that,5.5,p,1,Straight
bad,5.5,imrp,1,Straight
chat,5.5,imrp,1,BackAndForth
other,5.5,thumb,1,Curved
not_yet,5.519,imrp,1,None
look_for,5.52,imrp,5,Circular
color,5.533,imrp,1,None
pretty,5.533,imrp,1,None
dirty,5.533,imrp,1,None
problem_2,5.542,im,2,BackAndForth
tease,5.556,i,2,BackAndForth
how,5.556,imrp,5,Circular
patient_2,5.56,thumb,1,Straight
chocolate,5.56,imrp,5,Circular
wednesday,5.56,imr,1,Circular
wash_machine,5.567,imrp,5,None
make,5.567,imrp,7,None
buy,5.577,imrp,4,Curved
write,5.593,i,2,BackAndForth
shower,5.593,imrp,6,None
new,5.6,imrp,5,Curved
when,5.6,i,1,Circular
sit,5.615,im,5,Straight
meeting,5.621,imrp,1,BackAndForth
some,5.625,imrp,1,Straight
easy,5.63,imrp,1,BackAndForth
cheese,5.63,imrp,1,None
sorry,5.633,thumb,1,Circular
but,5.654,i,1,Straight
feel,5.655,m,3,Circular
wrong_2,5.667,p,1,None
monday,5.69,imr,4,Circular
enjoy,5.692,imrp,1,Circular
numbers,5.7,imrp,4,None
happy,5.7,imrp,1,Circular
remember,5.7,thumb,1,Straight
yeah,5.704,p,1,BackAndForth
here,5.704,imrp,1,Circular
stop,5.704,imrp,1,BackAndForth
chair,5.714,im,1,BackAndForth
apple,5.72,i,2,None
responsibility,5.72,imrp,3,BackAndForth
kid,5.733,ip,1,None
cup,5.742,imrp,5,BackAndForth
room,5.742,imrp,1,Other
man,5.75,thumb,1,Straight
start,5.76,i,1,BackAndForth
get,5.76,imrp,5,Straight
rain,5.76,imrp,2,BackAndForth
communication,5.76,imrp,5,BackAndForth
hungry,5.767,imrp,5,Straight
first,5.767,i,1,None
know,5.767,imrp,1,BackAndForth
college,5.783,imrp,1,Circular
laptop,5.793,imrp,1,BackAndForth
hard,5.793,im,2,Straight
bored,5.8,i,1,Straight
really,5.8,i,1,Straight
videophone,5.8,imrp,3,None
which,5.8,thumb,1,BackAndForth
finish,5.8,imrp,1,None
now,5.8,p,1,Straight
attention,5.8,imrp,1,BackAndForth
game,5.833,thumb,1,BackAndForth
dont_mind,5.84,i,1,Curved
same_1,5.84,p,1,BackAndForth
important,5.84,i,6,Circular
kiss,5.846,imrp,4,BackAndForth
full,5.852,imrp,1,Straight
hearing,5.857,i,1,Circular
what_for,5.867,i,1,None
think,5.867,i,3,None
wait,5.88,imrp,1,None
yesterday,5.889,thumb,1,Curved
saturday,5.889,imrp,7,Circular
restaurant,5.889,im,Crossed,Other
cold,5.9,imrp,7,BackAndForth
want,5.9,imrp,1,Straight
schedule,5.92,imrp,1,Other
black,5.92,i,1,Straight
name,5.926,im,1,BackAndForth
tell,5.933,i,1,Curved
woman,5.933,imrp,1,Straight
there,5.963,i,1,Straight
toilet,5.963,thumb,Crossed,BackAndForth
play,5.967,p,1,None
explanation,5.967,i,6,BackAndForth
family,5.967,i,6,Curved
table,6.0,imrp,1,BackAndForth
can,6.0,imrp,7,Straight
people,6.0,im,Stacked,Circular
right_1,6.0,i,1,Straight
night,6.032,imrp,3,BackAndForth
go,6.033,i,1,Curved
money,6.033,imrp,4,BackAndForth
kitchen,6.038,im,Stacked,Curved
maybe,6.04,imrp,1,BackAndForth
week,6.04,i,1,Straight
TV,6.067,thumb,Crossed,None
teacher,6.074,imrp,5,Straight
shoes,6.074,imrp,7,BackAndForth
cook,6.077,imrp,1,BackAndForth
wrong_1,6.08,p,1,BackAndForth
gas,6.08,thumb,1,BackAndForth
three,6.08,im,1,Curved
month,6.097,i,1,Straight
fine_1,6.1,thumb,1,BackAndForth
understand,6.1,i,2,None
morning,6.1,imrp,1,Straight
walk,6.111,imrp,1,BackAndForth
bed,6.12,imrp,1,None
have,6.125,imrp,4,Straight
interpreter,6.148,i,6,None
help,6.148,imrp,7,BackAndForth
boy,6.16,imrp,3,None
please,6.16,imrp,1,Circular
internet,6.167,m,3,None
fine_2,6.185,thumb,1,BackAndForth
learn,6.2,imrp,3,Straight
shop_2,6.231,imrp,4,BackAndForth
milk,6.233,imrp,7,None
who,6.233,i,1,None
where,6.24,i,1,None
dog,6.258,im,Stacked,None
picture,6.259,imrp,5,Curved
why,6.269,imr,1,Straight
my,6.31,imrp,1,Straight
door,6.32,imrp,1,BackAndForth
nothing,6.32,imrp,6,BackAndForth
friday,6.32,i,6,Circular
see,6.333,im,1,Straight
drink,6.348,imrp,5,Straight
father,6.36,imrp,1,BackAndForth
time,6.375,i,2,BackAndForth
coffee,6.387,imrp,7,Circular
read,6.387,im,1,BackAndForth
school,6.4,imrp,1,BackAndForth
what_1,6.407,imrp,1,BackAndForth
no,6.433,im,3,None
good,6.44,imrp,1,Straight
more,6.458,imrp,6,BackAndForth
friend,6.462,i,5,Circular
home,6.48,imrp,6,Curved
paper,6.484,imrp,1,Circular
hello,6.519,imrp,1,Straight
tired,6.538,imrp,5,Curved
bathroom,6.556,thumb,Crossed,BackAndForth
car,6.556,imrp,7,BackAndForth
evening,6.556,imrp,3,BackAndForth
parents,6.56,imrp,1,Curved
mother,6.6,thumb,1,BackAndForth
sleep,6.6,imrp,1,Straight
book,6.677,imrp,1,BackAndForth
eat_2,6.68,imrp,6,BackAndForth
work,6.739,imrp,7,BackAndForth
me,6.76,i,1,Straight
eat_1,6.84,imrp,6,BackAndForth
you,6.889,i,1,Straight
water,6.963,imr,1,BackAndForth
